month,operational,effective,frac_of_t0,frontier_relative,pool
57,1773551.5219391284,1773551.5219391284,0.8957330918884487,0.005929262457335612,11010.730703427218
58,1771884.1229632702,1771884.1229632702,0.8948909711935708,0.005184439349984587,11000.201385027696
59,1770254.1529381305,1770254.1529381305,0.8940677540091568,0.004533271393198309,10989.908423580042
60,1768660.7716770642,1768660.7716770642,0.8932630159985173,0.003963969073170357,10979.846513459843
61,1767103.1578535223,1767103.1578535223,0.8924763423502639,0.0034662288547932917,10970.010468140736
62,1765580.5085776886,1765580.5085776886,0.8917073275644892,0.0030310456148192684,10960.39521752095
63,1764092.0389826223,1764092.0389826223,0.8909555752437487,0.0026505487892271675,10950.99580530985
64,1762636.9818196895,1762636.9818196895,0.890220697888732,0.0023178592310678344,10941.807386473178
65,1761214.5870630753,1761214.5870630753,0.8895023166985229,0.0020269641563101654,10932.825224735616
66,1759824.1215231742,1759824.1215231742,0.8888000613753405,0.0017726078879587955,10924.044690139428
67,1758464.8684686606,1758464.8684686606,0.888113569933667,0.0015501963991460897,10915.461256657869
68,1757136.1272570405,1757136.1272570405,0.8874424885136568,0.0013557139094119576,10907.070499862233
69,1755837.2129734966,1755837.2129734966,0.8867864711987357,0.0011856500096797747,10898.868094641206
70,1754567.456077843,1754567.456077843,0.8861451798372945,0.0010369359846198838,10890.84981297143
71,1753326.2020594012,1753326.2020594012,0.8855182838683845,0.000906889169743031,10883.011521738146
72,1752112.8110996266,1752112.8110996266,0.8849054601513265,0.0007931643278077126,10875.34918060471
73,1750926.6577423057,1750926.6577423057,0.8843063927991442,0.0006937111576817915,10867.858839929968
74,1749767.1305711577,1749767.1305711577,0.8837207730157361,0.0006067371610464761,10860.536638732365
75,1748633.6318946737,1748633.6318946737,0.8831482989367039,0.0005306751903434851,10853.378802699754
76,1747525.5774380292,1747525.5774380292,0.8825886754737521,0.000464155086953214,10846.381642243892
77,1746442.396041913,1746442.396041913,0.8820416141625823,0.00040597889333158615,10839.541550598598
78,1745383.5293681168,1745383.5293681168,0.8815068330142004,0.0003550991881038649,10832.855001960586
79,1744348.4316117333,1744348.4316117333,0.8809840563695622,0.00031060015011711266,10826.318549672087
80,1743336.569219815,1743336.569219815,0.8804730147574824,0.00027168100723859424,10819.92882444419
81,1742347.420616348,1742347.420616348,0.8799734447557314,0.0002376415691709826,10813.682532620134
82,1741380.4759333995,1741380.4759333995,0.8794850888552522,0.0002078695815360396,10807.57645447753
83,1740435.236748301,1740435.236748301,0.8790076953274247,0.00018182967165426643,10801.607442568737
84,1739511.2158267307,1739511.2158267307,0.8785410180943084,0.00015905368542789896,10795.77242009847
85,1738607.9368715629,1738607.9368715629,0.8780848166017994,0.00013913224005021642,10790.068379337827
86,1737724.9342773547,1737724.9342773547,0.8776388556956337,0.0001217073393796723,10784.492380073923
87,1736861.7528903452,1736861.7528903452,0.8772029055001743,0.00010646591813802599,10779.041548094321
88,1736017.9477738403,1736017.9477738403,0.8767767412999193,9.313419797135077e-05,10773.71307370549
89,1735193.0839788662,1735193.0839788662,0.8763601434236699,8.147275316038745e-05,10768.504210284515
90,1734386.7363199692,1734386.7363199692,0.8759528971312975,7.127219665203463e-05,10763.41227286332
91,1733598.4891560492,1733598.4891560492,0.8755547925030551,6.23494083423358e-05,10758.434636744669
92,1732827.9361761126,1732827.9361761126,0.87516562433137,5.454423737886377e-05,10753.568736149236
93,1732074.6801898347,1732074.6801898347,0.874785192015068,4.771661884658255e-05,10748.812062893046
94,1731338.332922824,1731338.332922824,0.8744132994559717,4.174405271295157e-05,10744.162165094598
95,1730618.5148164807,1730618.5148164807,0.8740497549578186,3.6519399472283385e-05,10739.616645911032
96,1729914.8548323498,1729914.8548323498,0.8736943711274494,3.1948952665840176e-05,10735.173162302613
97,1729226.9902608648,1729226.9902608648,0.8733469647782146,2.7950753467412003e-05,10730.829423825033
98,1728554.5665343846,1728554.5665343846,0.8730073568355478,2.4453116905464443e-05,10726.58319144873
99,1727897.237044428,1727897.237044428,0.8726753722446606,2.1393343122143687e-05,10722.432276404785
100,1727254.6629630097,1727254.6629630097,0.8723508398803079,1.871659041616977e-05,10718.374539056678
101,1726626.513067989,1726626.513067989,0.8720335924585803,1.6374889741799083e-05,10714.407887797403
102,1726012.4635723357,1726012.4635723357,0.8717234664506746,1.432628289277785e-05,10710.530277971317
103,1725412.197957232,1725412.197957232,0.871420301998602,1.2534068835004353e-05,10706.739710820188
104,1724825.4068089179,1724825.4068089179,0.8711239428327868,1.0966144605057512e-05,10703.034232452941
105,1724251.7876592022,1724251.7876592022,0.8708342361915162,9.594428899302025e-06,10699.411932838468
106,1723691.0448295495,1723691.0448295495,0.8705510327421967,8.394357970937623e-06,10695.870944821114
107,1723142.889278671,1723142.889278671,0.8702741865043793,7.344444757197675e-06,10692.409443158209
108,1722607.0384535345,1722607.0384535345,0.8700035547745124,6.425893299582451e-06,10689.025643579222
109,1722083.2161437185,1722083.2161437185,0.8697389980523831,5.622261517213876e-06,10685.71780186606
110,1721571.1523390373,1721571.1523390373,0.8694803799692108,4.919166265186674e-06,10682.484212953974
111,1721070.583090361,1721070.583090361,0.8692275672173541,4.304025371958822e-06,10679.323210052671
112,1720581.2503735593,1720581.2503735593,0.8689804294815956,3.765832016169306e-06,10676.233163787136
113,1720102.9019565005,1720102.9019565005,0.8687388393719699,3.2949573858556906e-06,10673.21248135777
114,1719635.2912690362,1719635.2912690362,0.8685026723580991,2.882978072406792e-06,10670.259605719351
115,1719178.1772759024,1719178.1772759024,0.8682718067050011,2.5225250969395564e-06,10667.373014778452
116,1718731.324352476,1718731.324352476,0.8680461234103415,2.207151856186822e-06,10664.55122060883
117,1718294.5021633203,1718294.5021633203,0.8678255061430911,1.9312186154607873e-06,10661.792768684487
118,1717867.4855434538,1717867.4855434538,0.8676098411835625,1.6897914739677739e-06,10659.096237129916
119,1717450.0543822884,1717450.0543822884,0.8673990173647921,1.4785539880709044e-06,10656.46023598716
120,1717041.9935101694,1717041.9935101694,0.8671929260152371,1.293729865728297e-06,10653.883406499357
