t_half_months,t_frontier_months,sovereign_floor_pct_of_c0,sovereign_floor_closed_form_pct,sovereign_floor_h100e,cap_60mo_pct,cap_120mo_pct,frontier_share_t0,c0,afr,kappa,useful_life_years,frontier_doubling_months,domestic_per_month,leakage_per_month,utilisation_ceiling,frontier_scale,dom_growth_yr
101.0,40.0,45.36311956151568,45.36311954577258,1955727.2752090173,57.88213997116573,48.25927543959057,14.535390056102463,4311271.566226633,0.09857484477997541,0.2660478905401109,3.7835554370399245,6.066074498888317,34246.95638340894,13135.660915101058,1.0,296605.1512609124,0.0
86.0,35.0,42.04671551774012,42.04671546318766,1635473.2868013398,56.41270222870379,45.643129653307604,8.134166956759543,3889657.650218386,0.09251544842351582,0.3245705048574679,3.735789260865462,6.0122069598115555,25070.71991418773,12460.621172552708,1.0,478187.58465315937,0.0
inf,34.0,62.39160070206441,62.391600697431436,2208742.221156571,70.48232436395237,64.1610475006637,8.993654976891461,3540127.5112396474,0.16438672968097487,0.31408322097216945,4.601793633106237,5.387190663588088,42594.36887814531,12998.30635580021,1.0,393625.0078900899,0.0
inf,49.0,146.9878506305692,146.98785139238046,2108079.6590363085,132.60535982028063,142.64154057450673,18.819065729796034,1434186.3290011869,0.11045949157658638,0.4805892568432716,4.235617751416058,6.132801188532668,35308.98238029006,6591.802136427876,1.0,76209.22045723314,0.0
31.0,45.0,22.709535152741193,22.70953515273694,974566.1007421003,32.71271377806447,24.01708963983622,23.225544629965736,4291440.11177377,0.08472342404952984,0.3119802666589752,2.4992133662808693,6.8505945101284675,28806.416088514474,3689.3455076029227,1.0,184772.42106249378,0.0
32.0,40.0,24.984375444753397,24.98437544475016,1136672.6381281808,34.565445268898564,26.21822982240517,15.77398677093428,4549533.930282323,0.13281404944190967,0.21206087591684036,2.8658506862056403,6.49074390597742,31880.350581287697,6525.62477288864,1.0,288420.0422093328,0.0
inf,42.0,58.220884641759454,58.22088461390983,1700234.5002499586,68.26324406355599,60.67910261843104,50.2261283948844,2920317.1863700096,0.15784018515024717,0.46935446409856174,4.165152002528798,4.815973487209865,24471.75668303957,15244.112031266048,1.0,58143.386314989155,0.0
28.0,50.0,18.248522153548855,18.248522153546514,842657.4625219454,28.377246896390908,19.51703024494921,52.786617808854885,4617675.09407917,0.09656816783897587,0.40552119380125035,2.4486066650880556,6.725070901761282,24166.130052801138,4511.997884757117,1.0,87478.1390768431,0.0
inf,37.0,94.49665647780951,94.49665647619089,1743202.2958835005,95.66674135027581,94.769190541209,10.433314565139527,1844723.7826799233,0.10919514315336962,0.24364830814071378,4.095920987192146,5.435830461003206,28063.073999142198,13961.199520521053,1.0,176810.90425890492,0.0
63.0,54.0,38.91594125821015,38.91594125647634,1766845.2560808426,50.85730471992424,41.28369576922569,41.020337387232544,4540158.091918409,0.15668441964420107,0.4695284222646024,3.3015548810041615,6.9253633614963235,39237.855001457116,8183.862130705966,1.0,110680.66186436388,0.0
inf,36.0,57.51016068791227,57.51016068785976,1453965.9285693357,64.29758570270475,58.601421550055434,9.355405074880828,2528189.647146885,0.16779897475948424,0.09600067050281168,4.717259203239034,5.9137496359711985,29691.453974022224,14050.070870345155,1.0,270238.3944801118,0.0
25.0,40.0,16.623328773246556,16.623328773246193,719022.2906316217,25.722529422920836,17.630531102060935,30.499624452911657,4325380.917622289,0.12691447687567264,0.4420822555731197,2.313605715814504,5.791067197668855,20195.059298761644,5703.270658556179,1.0,141817.51399268015,0.0
inf,30.0,56.19424142630063,56.19424142598986,1546590.3648705878,63.979564326531225,57.60196476103812,7.6990424363346985,2752222.1594519755,0.08370454621485866,0.48794111126631984,2.9653855295247746,5.006210945423918,35791.92718543931,7670.391329962612,1.0,357475.9045960308,0.0
inf,32.0,141.81109441389944,141.81109442150168,1714117.4821370684,132.3018473695463,139.68126145214072,3.286116013401247,1208732.9903358119,0.1063745513692417,0.36032331514630395,3.4216612572646836,5.935320654312529,26508.02751682697,15990.748731673957,1.0,367830.2851775249,0.0
36.0,28.0,35.297306178658125,35.297306178658054,1045401.177561515,40.80375597470903,35.77122411834671,9.147540813760626,2961702.437772993,0.15842067088077952,0.20602486545792983,2.4312106109931397,4.875356276344077,25709.088778566158,16460.964452162454,1.0,323770.3441910541,0.0
79.0,46.0,46.14555541333013,46.14555541332637,661706.9635594884,53.23300186098289,47.089501932451384,25.307851118714083,1433956.0064507106,0.14334006208745592,0.22797851944708225,2.9826484512195743,6.266970754566774,14610.74787624008,7392.055581571469,1.0,56660.52007830728,0.0
37.0,40.0,32.715112566493545,32.715112566493445,1221994.9857141373,39.901427814497396,33.48481043224553,13.13087891831947,3735261.442950654,0.1494281106381955,0.3575227262291251,2.2754519923096646,6.6327014269437505,31219.916426740823,13887.331980482313,1.0,284463.93163670297,0.0
inf,49.0,49.09998367982819,49.09998367852919,846221.9855342235,59.051493481136816,51.05822932050512,27.350170259251566,1723466.9385071057,0.06660719459264383,0.13423260311751656,3.3774533138008893,6.510138300396359,15245.93789692689,7447.796278439076,1.0,63014.85227223109,0.0
inf,44.0,60.41336508822649,60.41336508751639,1708165.3478146095,67.90351614402049,61.8539903434708,45.669544252553585,2827462.673731282,0.1352753300272304,0.2997229849344839,3.5706693471495496,5.140091481906892,31795.345057094717,14795.338614132012,1.0,61911.339821903,0.0
