t_half_months,t_frontier_months,sovereign_floor_pct_of_c0,sovereign_floor_closed_form_pct,sovereign_floor_h100e,cap_60mo_pct,cap_120mo_pct,frontier_share_t0,c0,afr,kappa,useful_life_years,frontier_doubling_months,domestic_per_month,leakage_per_month,utilisation_ceiling,frontier_scale,dom_growth_yr
inf,36.0,63.07946745515448,63.0794667029289,1489760.752894778,74.29889585233994,66.52748175207259,8.59414398235096,2361720.561375861,0.1157757750300044,0.26273570680425534,5.772626873192385,5.747317519518929,17317.87690386435,11810.697473701659,1.0,274805.79406464676,0.0
46.0,41.0,31.68812694399167,31.68812694362663,1026948.4993375083,43.75404996417505,33.82701486970308,21.292504398841793,3240798.9943761136,0.1393546194877743,0.09002618417713168,4.4921554697996955,5.904087897165751,18943.907300148796,10315.807211845708,1.0,152203.7489658754,0.0
inf,42.0,58.855074161623875,58.85507415981366,1849614.6967285452,67.11432432881472,60.541599105367816,43.76945330185545,3142659.6993986564,0.07830340311296441,0.4228565681981003,3.1891498652105836,5.042223432131925,37537.590840669494,10793.332624977576,1.0,71800.2959215722,0.0
inf,40.0,86.5988875704817,86.59888634742093,3142041.421440028,90.97703321181821,88.08879190067113,9.348973869650102,3628269.9577206024,0.09415122800326227,0.43518869265009735,4.774600382640993,6.146347013485446,43858.22255513824,12392.707783330772,1.0,388092.8547141607,0.0
45.0,44.0,30.988890401062864,30.988890400617734,916869.9360341725,43.33972067040509,33.20579740769682,45.971927518030114,2958705.2784656193,0.11406106676799792,0.07351954903534429,4.112434430920331,5.595185784004204,20382.95719696149,5543.464987637304,1.0,64358.95639366481,0.0
57.0,45.0,29.46979437051253,29.469794155300903,1318743.0265769016,48.40842954391321,34.597057758757536,17.705843938086073,4474897.279556302,0.14759530880810562,0.3519604246608277,5.213956609531442,6.712828220580017,21228.074746857044,7342.828521432232,1.0,252735.6106381688,0.0
69.0,36.0,33.20700009034601,33.20699910327449,1461690.9581639462,53.14937977218621,39.20436696902153,24.050812230379698,4401755.515966922,0.09963364277785035,0.30964619953621464,4.804890429714271,4.892280167095691,21731.61627228342,7386.847745797417,1.0,183018.9963566744,0.0
34.0,38.0,30.230485006897162,30.230485006896945,958257.4698187745,37.43941760366028,30.983713277282632,21.98659885644529,3169838.22654564,0.12281993528625158,0.2504621076592226,2.338622576511134,5.629230302772931,30920.36741110573,4754.834632777232,1.0,144171.3767209799,0.0
76.0,56.0,39.17283862097198,39.172838547564155,1686318.642748107,54.50995140420428,43.07637062618715,69.88545355822153,4304816.046303323,0.17045687129742298,0.3239255459852483,5.767960129796485,6.401914480040071,23761.491785929484,14477.009691834588,1.0,61598.16996418264,0.0
inf,33.0,135.2157378581087,135.2157378581088,1214783.675878351,131.77132369976144,134.88410877874156,8.62218611334379,898404.0579308218,0.06249158730532737,0.473669005505051,2.17824051559247,4.837882914116678,42189.53407014491,4284.6602464217,1.0,104196.78328915236,0.0
