month,operational,effective,frac_of_t0,frontier_relative,pool
32,6780784.337768501,6780784.337768501,0.645788984549381,0.634886937607532,42447.30944240454
33,6703701.632766942,6703701.632766942,0.6384477745492325,0.5493394048970098,41960.54631263831
34,6628349.24235028,6628349.24235028,0.6312713564143124,0.47538018502774537,41484.709801791425
35,6554688.325269203,6554688.325269203,0.6242560309780193,0.41143132510403196,41019.55463450571
36,6482680.9121636255,6482680.9121636255,0.6173981821108214,0.3561308286877756,40564.841041243344
37,6412289.885990951,6412289.885990951,0.610694274856281,0.3083029559530478,40120.33463469502
38,6343478.962893669,6343478.962893669,0.6041408536089208,0.26693262738283846,39685.80628896222
39,6276212.673496424,6276212.673496424,0.5977345403329928,0.23114336154157666,39261.03202145173
40,6210456.344622927,6210456.344622927,0.5914720328212312,0.2001782568094184,38845.792877421256
41,6146176.081423265,6146176.081423265,0.5853501029926919,0.17338359521711383,38439.87481711665
42,6083338.749902416,6083338.749902416,0.5793655952288015,0.15019470523152725,38043.068605442735
43,6021911.959840958,6021911.959840958,0.5735154247467579,0.13012377085021182,37655.16970411066
44,5961864.048099152,5961864.048099152,0.567796576009443,0.11274931781908179,37275.97816620631
45,5903164.0622958215,5903164.0622958215,0.5622061011710306,0.09770714517856242,36905.298533125395
46,5845781.744853594,5845781.744853594,0.5567411185574852,0.0846825025200503,36542.93973382206
47,5789687.517402286,5789687.517402286,0.5513988111811701,0.07340334102613809,36188.71498631916
48,5734852.465532395,5734852.465532395,0.5461764252887995,0.06363449020230193,35842.44170142935
49,5681248.323890839,5681248.323890839,0.5410712689419847,0.05517263272403489,35503.94138863741
50,5628847.461611254,5628847.461611254,0.5360807106296432,0.04784196748540145,35173.03956409526
51,5577622.868071354,5577622.868071354,0.5312021779115575,0.04149046614136296,34849.56566068228
52,5527548.13896999,5527548.13896999,0.5264331560923801,0.03598664152975254,34533.35294008455
53,5478597.462716761,5478597.462716761,0.5217711869254058,0.03121675763420774,34224.23840684763
54,5430745.607127126,5430745.607127126,0.5172138673454406,0.027082420460185164,33922.062724358795
55,5383967.906416197,5383967.906416197,0.5127588482301141,0.023498497560388566,33626.670132715044
56,5338240.248484468,5338240.248484468,0.508403833188997,0.020391321151047526,33337.908368435004
57,5293539.062488965,5293539.062488965,0.5041465773799014,0.017697135967799996,33055.62858597286
58,5249841.306693384,5249841.306693384,0.4999848863517509,0.015360758358214537,32779.685280994294
59,5207124.456590966,5207124.456590966,0.49591661491342537,0.013334417716636257,32509.936215374622
60,5165366.493293981,5165366.493293981,0.4919396660279982,0.011576755338782574,32246.24234388045
61,5124545.892183844,5124545.892183844,0.48805198973179464,0.010051959196754749,31988.467742497327
62,5084641.611816002,5084641.611816002,0.48425158207771446,0.008729016085954557,31736.4795383661
63,5045633.083073883,5045633.083073883,0.4805364841022746,0.007581065139287647,31490.14784129209
64,5007500.198566312,5007500.198566312,0.47690478081583926,0.006584838897365343,31249.3456767917
65,4970223.302262921,4970223.302262921,0.4733546002155163,0.005720180014715993,31013.948920642026
66,4933783.17936223,4933783.17936223,0.4698841123202124,0.004969623313065121,30783.836234899507
67,4898161.046387155,4898161.046387155,0.4664915282273481,0.0043180342995190945,30558.889005355017
68,4863338.541502852,4863338.541502852,0.4631750991907478,0.003752296480971612,30338.991280392704
69,4829297.7150519,4829297.7150519,0.4599331157192285,0.003261040852927991,30124.029711221516
70,4796021.020301941,4796021.020301941,0.45676390669542294,0.0028344118441940448,29913.89349344818
71,4763491.304401024,4763491.304401024,0.45366583851438325,0.0024638647783009836,29708.47430996186
72,4731691.799535966,4731691.799535966,0.45063731424152054,0.0021419905851934387,29507.666275100873
73,4700606.114289191,4700606.114289191,0.44767677278944673,0.0018623640772905423,29311.365880072677
74,4670218.225189592,4670218.225189592,0.44478268811329447,0.0016194126052042736,29119.471939599116
